广东茂名,#genre#
广东新闻高清,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=1454_4500
广东民生高清,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=1455_4500
大湾区卫视高清,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=1456_4500
广东少儿高清,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=1457_4500
广东影视高清,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=1458_4500
嘉佳卡通高清,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=1459_4500
岭南戏曲高清,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=1460_4500
G导视高清,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=GHDdaoshi_7500
广东珠江,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=gdzhujiangHD_7500
广东经济科教,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=GDjingjikejiaoHD_7000
广东体育,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=1413
广东综艺4K,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=GDZYHD4K_38000
翡翠台,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=1350_4500
明珠台,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=1351_4500
凤凰中文.576,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=fhzw_1500
星空卫视.576,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=xingkong_1500
澳视澳门,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=1352_4500
澳亚卫视.576,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=aoya_1500
珠海1.576,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=zhuhaiyitao_1500
珠海2.576,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=zhuhaiertao_1500




广东珠江,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=gdzhujiangHD_7500
广东珠江,http://zteres.sn.chinamobile.com:6060/000000001000/2000000003000000033/1.m3u8?channel-id=hnbblive&Contentid=2000000003000000033&livemode=1&stbId=3
广东珠江,http://zteres.sn.chinamobile.com:6060/000000001000/1000000004000011655/1.m3u8?channel-id=ystenlive&Contentid=1000000004000011655&livemode=1&stbId=3
广东珠江,http://r.jdshipin.com/sE5vO
广东珠江-1,http://218.15.121.130:9901/tsfile/live/1000_1.m3u8
广东珠江-1,http://218.15.121.130:9901/tsfile/live/1000_1.m3u8
广东珠江-1,http://113.105.111.79:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
广东珠江-2,广东珠江,http://www.biaozhun114.com/dl/dl666/cd.php?key=触电&pk=1183
广东珠江-2,http://183.11.239.32:808/hls/83/index.m3u8
广东珠江-2,http://218.15.121.130:9901/tsfile/live/1000_1.m3u8




广州综合,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=1432
广州新闻,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=1433
广州法治.576,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=gzeconomic_1500
广州竞赛.576,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=gzcompetition_1500
广州影视.576,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=gzfilms_1500
湛江综合.576,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=zhanjiangzonghe_1500
湛江公共.576,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=zhanjianggonggong_1500
茂名综合,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=3012
茂名文化生活,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=3013
海丰综合576,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=haifengzonghe
